name,smiles,cid,inchikey,source,note
D-Ala-D-Ala,C[C@H](C(=O)N[C@H](C)C(=O)O)N,5460362,DEFJQIDDEAULHB-QWWZWVQMSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/5460362,cell-wall precursor analog (vancomycin-relevant)
D-Ala-D-Lac,C[C@H](C(=O)O[C@H](C)C(=O)O)N,5487001,QLYOONKPELZQGZ-QWWZWVQMSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/5487001,cell-wall precursor analog (vancomycin-relevant)
D-Ala-D-Ser,C[C@H](C(=O)N[C@H](CO)C(=O)O)N,1549439,IPWKGIFRRBGCJO-QWWZWVQMSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/1549439,cell-wall precursor analog (vancomycin-relevant)
D-Ala-D-Leu,C[C@H](C(=O)N[C@H](CC(C)C)C(=O)O)N,6992390,RDIKFPRVLJLMER-RNFRBKRXSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6992390,cell-wall precursor analog (vancomycin-relevant)
Ac-D-Ala-D-Ala,C[C@H](C(=O)N[C@H](C)C(=O)O)NC(=O)C,13883037,MJZMSEWWBGCBFM-RFZPGFLSSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/13883037,N-acetyl analog (vancomycin-relevant)
Ac-D-Ala-D-Ser,C[C@H](C(=O)N[C@H](CO)C(=O)O)NC(=O)C,54150115,OHDMDPKNKIIBFQ-INEUFUBQSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/54150115,N-acetyl analog (vancomycin-relevant)
Ac-L-Ala-D-Ala,C[C@@H](C(=O)N[C@H](C)C(=O)O)NC(=O)C,92308908,MJZMSEWWBGCBFM-CRCLSJGQSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/92308908,N-acetyl analog (vancomycin-relevant)
glycylglycine,C(C(=O)NCC(=O)O)N,11163,YMAWOPBAYDPSLA-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/11163,real dipeptide (library / throughput demo)
glycyl-L-alanine,C[C@@H](C(=O)O)NC(=O)CN,1551643,VPZXBVLAVMBEQI-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/1551643,real dipeptide (library / throughput demo)
L-alanylglycine,C[C@@H](C(=O)NCC(=O)O)N,6998029,CXISPYVYMQWFLE-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6998029,real dipeptide (library / throughput demo)
L-alanyl-L-alanine,C[C@@H](C(=O)N[C@@H](C)C(=O)O)N,5484352,DEFJQIDDEAULHB-IMJSIDKUSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/5484352,real dipeptide (library / throughput demo)
glycyl-L-leucine,CC(C)C[C@@H](C(=O)O)NC(=O)CN,92843,DKEXFJVMVGETOO-LURJTMIESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/92843,real dipeptide (library / throughput demo)
L-leucylglycine,CC(C)C[C@@H](C(=O)NCC(=O)O)N,97364,LESXFEZIFXFIQR-LURJTMIESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/97364,real dipeptide (library / throughput demo)
glycyl-L-valine,CC(C)[C@@H](C(=O)O)NC(=O)CN,2724807,STKYPAFSDFAEPH-LURJTMIESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/2724807,real dipeptide (library / throughput demo)
L-valylglycine,CC(C)[C@@H](C(=O)NCC(=O)O)N,6993111,IOUPEELXVYPCPG-LURJTMIESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6993111,real dipeptide (library / throughput demo)
glycyl-L-serine,C([C@@H](C(=O)O)NC(=O)CN)O,73086,BCCRXDTUTZHDEU-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/73086,real dipeptide (library / throughput demo)
L-seryl-glycine,C([C@@H](C(=O)NCC(=O)O)N)O,7009644,WOUIMBGNEUWXQG-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7009644,real dipeptide (library / throughput demo)
glycyl-L-phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)CN,92953,JBCLFWXMTIKCCB-VIFPVBQESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/92953,real dipeptide (library / throughput demo)
L-phenylalanylglycine,C1=CC=C(C=C1)C[C@@H](C(=O)NCC(=O)O)N,6992304,GLUBLISJVJFHQS-VIFPVBQESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6992304,real dipeptide (library / throughput demo)
glycyl-L-proline,C1C[C@H](N(C1)C(=O)CN)C(=O)O,3013625,KZNQNBZMBZJQJO-YFKPBYRVSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/3013625,real dipeptide (library / throughput demo)
L-prolylglycine,C1C[C@H](NC1)C(=O)NCC(=O)O,6426709,RNKSNIBMTUYWSH-YFKPBYRVSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6426709,real dipeptide (library / throughput demo)
glycyl-L-aspartic acid,C([C@@H](C(=O)O)NC(=O)CN)C(=O)O,97363,SCCPDJAQCXWPTF-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/97363,real dipeptide (library / throughput demo)
glycyl-L-glutamic acid,C(CC(=O)O)[C@@H](C(=O)O)NC(=O)CN,99278,IEFJWDNGDZAYNZ-BYPYZUCNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/99278,real dipeptide (library / throughput demo)
glycyl-L-lysine,C(CCN)C[C@@H](C(=O)O)NC(=O)CN,3080576,IKAIKUBBJHFNBZ-LURJTMIESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/3080576,real dipeptide (library / throughput demo)
L-lysylglycine,C(CCN)C[C@@H](C(=O)NCC(=O)O)N,7022320,HGNRJCINZYHNOU-LURJTMIESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7022320,real dipeptide (library / throughput demo)
glycyl-L-histidine,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CN,7023107,YIWFXZNIBQBFHR-LURJTMIESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7023107,real dipeptide (library / throughput demo)
glycyl-L-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)NC(=O)CN,92181,AJHCSUXXECOXOY-NSHDSACASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/92181,real dipeptide (library / throughput demo)
glycyl-L-tyrosine,C1=CC(=CC=C1C[C@@H](C(=O)O)NC(=O)CN)O,92829,XBGGUPMXALFZOT-VIFPVBQESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/92829,real dipeptide (library / throughput demo)
glycyl-L-methionine,CSCC[C@@H](C(=O)O)NC(=O)CN,151282,PFMUCCYYAAFKTH-YFKPBYRVSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/151282,real dipeptide (library / throughput demo)
glycyl-L-threonine,C[C@H]([C@@H](C(=O)O)NC(=O)CN)O,111257,OLIFSFOFKGKIRH-WUJLRWPWSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/111257,real dipeptide (library / throughput demo)
glycyl-L-cysteine,C([C@@H](C(=O)O)NC(=O)CN)S,7408690,MFBYPDKTAJXHNI-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7408690,real dipeptide (library / throughput demo)
glycyl-L-asparagine,C([C@@H](C(=O)O)NC(=O)CN)C(=O)N,99282,FUESBOMYALLFNI-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/99282,real dipeptide (library / throughput demo)
glycyl-L-glutamine,C(CC(=O)N)[C@@H](C(=O)O)NC(=O)CN,123913,PNMUAGGSDZXTHX-BYPYZUCNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/123913,real dipeptide (library / throughput demo)
